arm,T,inference_batch,inference_sec_per_iteration,inference_sec_per_tubelet,training_sec_per_tubelet,inference_over_training,batch_gain_over_training
2d_single,8,4096,0.700686,0.00017106603710885792,0.0007654320987654321,0.2234895000938305,25.28395061728395
2d_tframe_logitavg,8,1024,1.400758,0.0013679278619520118,0.006111111111111111,0.22384274104669283,6.320987654320987
tsm,8,1024,1.51931,0.0014837007293635907,0.007716049382716049,0.19228761452552137,6.320987654320987
r3d_18,8,460,3.577484,0.007777138756962655,0.04204938271604938,0.18495250713857167,2.8395061728395063
